rozmiar;gestosc
20;0.25
Dijkstra;lista;1;1269;1269900
Dijkstra;macierz;0;389;389800
Bellman-Ford;lista;29;29889;29889100
Bellman-Ford;macierz;238;238452;238452352
rozmiar;gestosc
100;0.25
algorytm;struktura;ms;micros;ns
Kruskal;lista;5;5543;5543300
Kruskal;macierz;286;286820;286820500
Prim;lista;1;1174;1174500
Prim;macierz;22;22033;22033200
Dijkstra;lista;0;595;595700
Dijkstra;macierz;0;836;836300
Bellman-Ford;lista;11;11354;11354000
Bellman-Ford;macierz;278;278122;278122352
rozmiar;gestosc
100;0.5
algorytm;struktura;ms;micros;ns
Kruskal;lista;13;13916;13916700
Kruskal;macierz;449;449080;449080100
Prim;lista;1;1842;1842500
Prim;macierz;22;22131;22131800
Dijkstra;lista;1;1067;1067800
Dijkstra;macierz;0;916;916000
Bellman-Ford;lista;27;27612;27612500
Bellman-Ford;macierz;345;345842;345842052
rozmiar;gestosc
100;0.75
algorytm;struktura;ms;micros;ns
Kruskal;lista;22;22602;22602900
Kruskal;macierz;546;546589;546589100
Prim;lista;2;2809;2809300
Prim;macierz;22;22852;22852200
Dijkstra;lista;1;1785;1785900
Dijkstra;macierz;0;818;818600
Bellman-Ford;lista;50;50967;50967500
Bellman-Ford;macierz;390;390741;390741252
rozmiar;gestosc
100;0.99
algorytm;struktura;ms;micros;ns
Kruskal;lista;31;31994;31994600
Kruskal;macierz;572;572446;572446000
Prim;lista;4;4058;4058800
Prim;macierz;22;22608;22608000
Dijkstra;lista;2;2381;2381600
Dijkstra;macierz;0;542;542900
Bellman-Ford;lista;87;87147;87147600
Bellman-Ford;macierz;406;406725;406725052
